Board,Algorithm,Backtracks,Runtime (s)
board_4x4.sud,Pruned Backtracking,0,0.00019032100681215525
board_4x4.sud,Forward Checking,0,0.0001551120076328516
board_9x9_1.sud,Pruned Backtracking,412,0.008161337987985462
board_9x9_1.sud,Forward Checking,135,0.0034194549662061036
board_9x9_3.sud,Pruned Backtracking,247,0.007397691020742059
board_9x9_3.sud,Forward Checking,102,0.003247052023652941
board_9x9_4.sud,Pruned Backtracking,44,0.003741402004379779
board_9x9_4.sud,Forward Checking,159,0.003976041043642908
board2.sud,Pruned Backtracking,6786,0.08554864901816472
board2.sud,Forward Checking,3452,0.04364457697374746
